시군명,기관명,소재지지번주소,소재지도로명주소,소재지우편번호,WGS84위도,WGS84경도,전화번호정보,홈페이지URL,비고
파주시,파주시장애인가족지원센터,경기도 파주시 금촌동 108-64번지 장애인회관 2층,경기도 파주시 황골로 74-13 장애인회관 2층,10922,37.7548459669,126.7773931227,031-945-8050,http://www.pjfamily.co.kr/,가족지원센터
평택시,평택시장애인가족지원센터,경기도 평택시 비전동 766-3번지,경기도 평택시 평남로 645,17899,36.9915300198,127.1067814456,031-8054-7979,http://ptfamily.or.kr/,가족지원센터
포천시,포천시장애인가족지원센터,경기도 포천시 소흘읍 송우리 589-14번지,경기도 포천시 소홀읍 송우로132번길 54,11171,37.8366172156,127.1331140194,031-544-9195,http://www.pcfamily.kr/main/index.php,가족지원센터
화성시,동부장애아동재활센터,경기도 화성시 진안동 862-3번지 2층,"경기도 화성시 병점4로 58, 2층",18399,37.2143894692,127.0372151897,031-221-3564,www.,재활치료시설
화성시,동탄장애아동재활센터,경기도 화성시 석우동 60번지,경기도 화성시 노작로 226-9,18460,37.2070260886,127.0785629249,031-5189-4365,www.,재활치료시설
화성시,봉담장애아동재활센터,경기도 화성시 봉담읍 동화리 614번지 2층,"경기도 화성시 동화새터길 109, 2층",18301,37.2170603625,126.9611197582,031-5189-3451,www.,재활치료시설
화성시,송산장애아동재활센터,경기도 화성시 송산면 사강리 711-2번지,경기도 화성시 송산면 사강시장길 26,18550,37.2132123381,126.7324609814,031-5189-2898,https://www.dongnam.ac.kr/sanhak/1374/subview.do,재활치료시설
화성시,장안장애아동재활센터,경기도 화성시 장안면 독정리 933-1번지,경기도 화성시 장안면 포승장안로1219,18583,37.0675127370,126.8473297217,031-5189-3839,https://www.dongnam.ac.kr/sanhak/1374/subview.do,재활치료시설
화성시,화성시장애인가족지원센터,경기도 화성시 향남읍 도이리 220-20번지 화성시아르딤복지관 협회동 301호,경기도 화성시 향남읍 도이1길 104 화성시아르딤복지관 협회동 301호,18588,37.1364460650,126.9206417938,031-8059-3556,http://www.hsfamily.or.kr/,가족지원센터

